model,attack,sessions,detection_rate,mean_risk,allow_rate,monitor_rate,step_up_rate,restrict_rate,block_rate
placeholder,genuine,156,0.10256410256410256,10.983068210585266,0.8333333333333334,0.0641025641025641,0.10256410256410256,0.0,0.0
placeholder,takeover,156,1.0,99.16937652600157,0.0,0.0,0.0,0.23717948717948717,0.7628205128205128
placeholder,bot,156,1.0,99.95534183700524,0.0,0.0,1.0,0.0,0.0
placeholder,replay,156,1.0,89.85015824888396,0.0,0.0,1.0,0.0,0.0
placeholder,poisoning,156,0.1794871794871795,18.375825173957193,0.7692307692307693,0.05128205128205128,0.1794871794871795,0.0,0.0
fitted,genuine,156,0.07692307692307693,20.539135376880246,0.7371794871794872,0.1858974358974359,0.07692307692307693,0.0,0.0
fitted,takeover,156,1.0,98.78411701201094,0.0,0.0,0.0,0.0,1.0
fitted,bot,156,1.0,99.66567923842983,0.0,0.0,1.0,0.0,0.0
fitted,replay,156,1.0,97.78259960556622,0.0,0.0,1.0,0.0,0.0
fitted,poisoning,156,0.16666666666666666,26.132687766539348,0.5512820512820513,0.28205128205128205,0.16666666666666666,0.0,0.0
