condition,measure,samples,p50_ms,p95_ms,max_ms
cold,api_gateway_and_network,10,979.1,1329.7,1329.7
cold,handler,10,166.9,188.8,188.8
cold,publish,10,52.5,57.1,57.1
cold,read,10,96.8,118.8,118.8
cold,round_trip,10,1162.3,1499.6,1499.6
cold,score,10,0.2,0.2,0.2
cold,write,10,12.5,14.5,14.5
warm,api_gateway_and_network,100,117.6,204.3,309.4
warm,handler,100,23.8,29.4,52.4
warm,lambda_overhead,133,0.4,0.6,3.1
warm,publish,100,9.0,11.2,38.3
warm,read,100,3.8,4.8,10.2
warm,round_trip,100,144.9,228.9,333.2
warm,score,100,0.1,0.1,0.1
warm,write,100,10.3,15.1,16.2
warm_confirmation,api_gateway_and_network,30,121.8,294.6,393.7
warm_confirmation,handler,30,54.2,69.5,97.8
warm_confirmation,publish,30,10.0,16.0,21.3
warm_confirmation,read,30,4.0,5.3,5.9
warm_confirmation,round_trip,30,172.1,392.4,451.0
warm_confirmation,score,30,0.1,0.1,0.1
warm_confirmation,workflow,30,27.6,45.8,73.7
warm_confirmation,write,30,10.2,13.2,13.2
