attack,victim,session,session_id,checkpoint,decision_id,action,risk,confidence,top_channel,constraints,transfer_status,round_trip_ms,handler_ms,read_ms,score_ms,write_ms,publish_ms,workflow_ms
genuine,s002,0,sim-91625e3732dfe038e32871268022638f,login,8eaf30d03fb54310886e277e4fd8e184,allow,2.11,0.4375,automation,,,1281.3,161.5,89.2,0.2,12.2,59.8,
genuine,s002,0,sim-91625e3732dfe038e32871268022638f,payee,5d99d7d2554b4e03975584e696df9302,allow,2.39,0.5865,automation,,,177.8,33.0,6.2,0.2,10.5,15.8,
genuine,s002,0,sim-91625e3732dfe038e32871268022638f,amount,be102f2cbce24c15a2bd092e57f18cfe,allow,2.75,0.8798,behaviour,,,160.0,32.2,5.1,0.2,11.6,15.2,
genuine,s002,0,sim-91625e3732dfe038e32871268022638f,confirmation,46ad7cb02f9246c58c4dd8bd4403e197,allow,17.97,0.9135,behaviour,,processing,288.3,126.8,4.9,0.2,18.1,15.3,88.1
genuine,s002,1,sim-9ec97b2421961edd4c52e25ec0b4dfd5,login,050eb323299544eaa43829c3d17236dd,allow,9.04,0.4375,behaviour,,,124.6,23.4,3.9,0.1,9.8,9.4,
genuine,s002,1,sim-9ec97b2421961edd4c52e25ec0b4dfd5,payee,8e946368e2f64b70a57e2540737dafc0,monitor,28.14,0.5865,behaviour,,,119.6,35.0,4.4,0.1,20.6,9.7,
genuine,s002,1,sim-9ec97b2421961edd4c52e25ec0b4dfd5,amount,1e45098ec7344fbe83770641785d6876,allow,4.46,0.8798,behaviour,,,164.2,39.9,6.8,0.2,22.3,10.5,
genuine,s002,1,sim-9ec97b2421961edd4c52e25ec0b4dfd5,confirmation,bd621ec7bd0540fc88d17fe0061aa227,allow,16.51,0.9135,behaviour,,processing,221.5,62.4,5.2,0.2,20.7,9.7,26.3
genuine,s002,2,sim-e5bf198c8a31cc68c0e04d058a7543f2,login,98c9dd7545254667a213bd64a64f98f8,allow,6.16,0.4375,behaviour,,,114.1,25.0,4.7,0.1,10.5,9.4,
genuine,s002,2,sim-e5bf198c8a31cc68c0e04d058a7543f2,payee,ce43c9910cce461eb65fb8fcaf8e2850,monitor,22.39,0.5865,behaviour,,,175.5,35.1,4.5,0.1,19.9,10.3,
genuine,s002,2,sim-e5bf198c8a31cc68c0e04d058a7543f2,amount,9cb68bea3ac34a7f84eeb3fb842932a7,step_up,51.91,0.8798,behaviour,,,126.6,29.6,4.5,0.2,15.3,9.4,
genuine,s002,2,sim-e5bf198c8a31cc68c0e04d058a7543f2,confirmation,9cecdd6d314e4d5d8c75177af663c583,step_up,77.29,0.9135,behaviour,friction_ceiling,awaiting_step_up,184.0,50.4,4.9,0.2,11.0,9.2,24.9
genuine,s002,3,sim-88d3b036dba7ec1262072c9cd5e14a2d,login,f2b7f2cddfd44cebbcd515343adc474d,allow,3.87,0.4375,behaviour,,,112.8,24.7,3.9,0.1,9.5,11.0,
genuine,s002,3,sim-88d3b036dba7ec1262072c9cd5e14a2d,payee,fe53396217b04863b630cba8e77dfebc,allow,7.8,0.5865,behaviour,,,119.4,27.9,4.4,0.1,13.8,9.5,
genuine,s002,3,sim-88d3b036dba7ec1262072c9cd5e14a2d,amount,a64640a57bb842078254ea4af1a5ab9f,allow,16.36,0.8798,behaviour,,,162.5,34.2,4.7,0.2,17.8,11.4,
genuine,s002,3,sim-88d3b036dba7ec1262072c9cd5e14a2d,confirmation,82eb4774fd6a49c68921f6882a7d9013,monitor,33.2,0.9135,behaviour,,processing,216.1,70.2,4.7,0.2,19.8,9.9,35.3
genuine,s002,4,sim-861f500d745057a5c749224be57faa9b,login,aefa217901944f50aa6733ae6bafd2b7,allow,6.8,0.4375,behaviour,,,140.3,23.8,4.1,0.1,9.3,10.0,
genuine,s002,4,sim-861f500d745057a5c749224be57faa9b,payee,b942e120711f495fa06ac29ed0b05d4c,allow,14.99,0.5865,behaviour,,,146.3,30.8,4.1,0.1,10.6,15.8,
genuine,s002,4,sim-861f500d745057a5c749224be57faa9b,amount,1548ce40f6864250bfa4c4c5eaa2fc64,monitor,37.52,0.8798,behaviour,,,139.7,36.3,7.2,0.3,13.6,15.0,
genuine,s002,4,sim-861f500d745057a5c749224be57faa9b,confirmation,374b7764a88d4c358a9321d948eaa83a,step_up,48.9,0.9135,behaviour,,awaiting_step_up,143.7,56.0,4.7,0.2,12.2,11.0,27.6
takeover,s002,0,sim-1764306e0b5d186c8412a12516667f22,login,123f3c80773b4f05adb8da4c9288e265,step_up,43.78,0.4375,behaviour,,,128.5,23.2,3.8,0.1,8.9,10.1,
takeover,s002,0,sim-1764306e0b5d186c8412a12516667f22,payee,fefea25617954665ab0506e146dea1fe,step_up,75.95,0.5865,behaviour,friction_ceiling,,122.9,29.0,4.1,0.1,15.5,9.1,
takeover,s002,0,sim-1764306e0b5d186c8412a12516667f22,amount,5570fe670eb94517abf4a4ec0cdacff2,step_up,99.96,0.8798,behaviour,checkpoint,,120.0,30.3,4.7,0.2,13.9,11.3,
takeover,s002,0,sim-1764306e0b5d186c8412a12516667f22,confirmation,13661193a15b4d3cbad5f0710f5ab627,block,99.99,0.9135,behaviour,,blocked,180.5,59.2,5.0,0.2,17.0,10.0,26.8
takeover,s002,1,sim-d3aac94d99c10866b8a717b7e1cd1435,login,95df19cf59a9468cae046641ea8113da,step_up,41.08,0.4375,context,,,182.8,24.1,3.9,0.1,9.5,10.4,
takeover,s002,1,sim-d3aac94d99c10866b8a717b7e1cd1435,payee,f72ea35559fc4a37a321a1e58060ed0a,step_up,48.41,0.5865,behaviour,,,172.1,34.9,4.3,0.1,20.9,9.4,
takeover,s002,1,sim-d3aac94d99c10866b8a717b7e1cd1435,amount,4ade1660a3564ebaad251bfae1e32e09,step_up,99.96,0.8798,behaviour,checkpoint,,122.3,30.0,4.6,0.2,15.9,9.2,
takeover,s002,1,sim-d3aac94d99c10866b8a717b7e1cd1435,confirmation,3f41b5f674374d8ea3f3e9ab47178cd0,block,99.99,0.9135,behaviour,,blocked,165.4,57.8,5.0,0.2,16.6,9.2,26.6
takeover,s002,2,sim-0a434909fcedbb1ac8e217458676de22,login,2eef4f8f1b0f4d56b0c2028615cdc00c,step_up,43.78,0.4375,behaviour,,,178.2,25.6,3.9,0.1,8.9,12.5,
takeover,s002,2,sim-0a434909fcedbb1ac8e217458676de22,payee,4821593586424377ae5322e9e96cb9a1,step_up,75.95,0.5865,behaviour,friction_ceiling,,117.2,24.5,4.4,0.1,9.3,10.4,
takeover,s002,2,sim-0a434909fcedbb1ac8e217458676de22,amount,59a9e667f4bd49a6b496b7e1a63c2ec1,step_up,99.96,0.8798,behaviour,checkpoint,,135.5,34.3,4.8,0.2,20.2,8.8,
takeover,s002,2,sim-0a434909fcedbb1ac8e217458676de22,confirmation,b187d588c3574f9bb9e33d65b1489299,block,99.99,0.9135,behaviour,,blocked,157.6,63.4,4.9,0.2,12.8,10.1,35.2
takeover,s002,3,sim-404b1fd7b77f7bdef32c0a083bade60a,login,fa475d7ba0c84019a9203065ed5623b8,monitor,28.4,0.4375,context,,,122.4,24.4,4.3,0.1,9.8,10.0,
takeover,s002,3,sim-404b1fd7b77f7bdef32c0a083bade60a,payee,93e3c0082a2d432fab69bcf8c0acf4a7,monitor,39.43,0.5865,behaviour,,,186.9,24.2,4.1,0.1,9.4,10.4,
takeover,s002,3,sim-404b1fd7b77f7bdef32c0a083bade60a,amount,2d11897a21f845b68d0aaea307d435b7,step_up,99.96,0.8798,behaviour,checkpoint,,115.3,24.1,4.7,0.2,9.9,9.2,
takeover,s002,3,sim-404b1fd7b77f7bdef32c0a083bade60a,confirmation,6a6802eee238488795a65215f13a36cc,block,99.99,0.9135,behaviour,,blocked,192.2,70.6,4.8,0.2,21.9,9.1,34.5
takeover,s002,4,sim-81b13266b80df1db50b1b97440cb5516,login,9653743d832e4960a708c350e1c48abc,step_up,43.78,0.4375,behaviour,,,119.4,27.1,4.4,0.1,13.5,8.9,
takeover,s002,4,sim-81b13266b80df1db50b1b97440cb5516,payee,52ff7f00cc5042fbbfb8f36aadc86dd1,step_up,75.95,0.5865,behaviour,friction_ceiling,,120.6,27.4,4.4,0.1,13.3,9.4,
takeover,s002,4,sim-81b13266b80df1db50b1b97440cb5516,amount,1019b29a640b4f5490a6639d0825de7f,step_up,99.96,0.8798,behaviour,checkpoint,,187.2,28.6,4.4,0.2,12.1,11.7,
takeover,s002,4,sim-81b13266b80df1db50b1b97440cb5516,confirmation,5bf76c86aaf448f783e7d4f2f183be8c,block,99.99,0.9135,behaviour,,blocked,181.8,63.7,4.6,0.2,21.3,10.2,27.1
bot,s002,0,sim-e6a0aad9783bfde5beb43e2dac6baf37,login,9713d7f60a2c452fa9b94a6be6afc7ab,step_up,93.99,0.4375,automation,friction_ceiling,,113.2,22.0,3.8,0.1,8.9,9.0,
bot,s002,0,sim-e6a0aad9783bfde5beb43e2dac6baf37,payee,9ded5180c2354ffea903b202743a4923,step_up,99.87,0.5865,automation,friction_ceiling,,138.7,33.8,4.5,0.1,19.8,9.2,
bot,s002,0,sim-e6a0aad9783bfde5beb43e2dac6baf37,amount,094e2607a19a425eb75e5f86139402cc,step_up,99.95,0.8798,automation,friction_ceiling,,163.5,35.1,4.4,0.1,21.0,9.3,
bot,s002,0,sim-e6a0aad9783bfde5beb43e2dac6baf37,confirmation,339f24e2a48f4e77ae2a4696832fb623,step_up,99.98,0.9135,automation,friction_ceiling,awaiting_step_up,271.0,155.9,4.9,0.2,10.7,9.6,130.3
bot,s002,1,sim-ab613418ef9ff3cd92b20c80ec614108,login,04e68f81f8bb40a6b305446348f35295,step_up,93.99,0.4375,automation,friction_ceiling,,145.1,52.5,3.8,0.1,20.3,28.1,
bot,s002,1,sim-ab613418ef9ff3cd92b20c80ec614108,payee,0508fe8d49a94a8c9799841ff103d051,step_up,99.87,0.5865,automation,friction_ceiling,,170.5,23.9,4.2,0.1,9.9,9.4,
bot,s002,1,sim-ab613418ef9ff3cd92b20c80ec614108,amount,750ef59d875946bf86867f7e7a468d52,step_up,99.95,0.8798,automation,friction_ceiling,,128.1,34.0,4.5,0.2,18.9,10.1,
bot,s002,1,sim-ab613418ef9ff3cd92b20c80ec614108,confirmation,a87b340146104364a0e38e71569ea7bc,step_up,99.98,0.9135,automation,friction_ceiling,awaiting_step_up,234.5,60.7,5.2,0.2,14.6,15.6,25.0
bot,s002,2,sim-269f2393b52f747bfd669ac47ce0985e,login,625be744692d4f868db05c9933c4fa43,step_up,93.99,0.4375,automation,friction_ceiling,,142.8,25.7,4.2,0.1,11.9,9.2,
bot,s002,2,sim-269f2393b52f747bfd669ac47ce0985e,payee,f95149d48d5a475d969e39ea163eede1,step_up,99.87,0.5865,automation,friction_ceiling,,131.2,24.3,4.4,0.1,9.5,10.1,
