subject,eer_set_a_mad,eer_set_a_std,eer_set_b_mad
s002,0.24,0.245,0.415
s003,0.14,0.14800000000000002,0.248
s004,0.08,0.08799999999999997,0.19599999999999995
s005,0.04400000000000004,0.04400000000000004,0.18
s007,0.11199999999999999,0.10799999999999998,0.16000000000000003
s008,0.065,0.065,0.124
s010,0.025,0.03,0.07599999999999996
s011,0.07199999999999995,0.06799999999999995,0.115
s012,0.020000000000000018,0.016000000000000014,0.06399999999999995
s013,0.07199999999999995,0.07599999999999996,0.07
s015,0.10799999999999998,0.11599999999999999,0.16800000000000004
s016,0.18,0.155,0.36
s017,0.03,0.02400000000000002,0.02400000000000002
s018,0.125,0.11599999999999999,0.19
s019,0.045,0.04,0.29
s020,0.14,0.135,0.21999999999999997
s021,0.11599999999999999,0.105,0.21
s022,0.03,0.025,0.27
s024,0.052000000000000046,0.04400000000000004,0.10399999999999998
s025,0.07599999999999996,0.075,0.272
s026,0.045,0.04400000000000004,0.11199999999999999
s027,0.07,0.06399999999999995,0.31999999999999995
s028,0.06000000000000005,0.035,0.06
s029,0.07199999999999995,0.06799999999999995,0.136
s030,0.08,0.09,0.264
s031,0.275,0.28800000000000003,0.388
s032,0.272,0.285,0.272
s033,0.10799999999999998,0.09599999999999997,0.268
s034,0.145,0.16400000000000003,0.26
s035,0.195,0.185,0.376
s036,0.01,0.0,0.028000000000000025
s037,0.11,0.105,0.19999999999999996
s038,0.09,0.08,0.31200000000000006
s039,0.085,0.08,0.19999999999999996
s040,0.15600000000000003,0.145,0.28400000000000003
s041,0.1,0.09,0.14
s042,0.045,0.04800000000000004,0.136
s043,0.015,0.01200000000000001,0.205
s044,0.075,0.065,0.21599999999999997
s046,0.14400000000000002,0.14400000000000002,0.435
s047,0.325,0.305,0.48
s048,0.065,0.06000000000000005,0.136
s049,0.06399999999999995,0.06,0.31200000000000006
s050,0.11,0.10799999999999998,0.21199999999999997
s051,0.09599999999999997,0.095,0.15
s052,0.016000000000000014,0.015,0.215
s053,0.028000000000000025,0.028000000000000025,0.03600000000000003
s054,0.06799999999999995,0.05600000000000005,0.15200000000000002
s055,0.015,0.01200000000000001,0.020000000000000018
s056,0.08,0.085,0.17600000000000005
s057,0.115,0.11,0.16
